Expiry,Tenor,Forward,Annuity,Offset,Straddle,Strangle,RiskReversal,Payer,Receiver,Strike_Payer,Strike_Receiver,T_expiry,alpha,rho,nu,ATM Vol,rho_roll,nu_roll
10y,2.0,0.046443,1.3483581607256985,0.02,0.0261,0.0157,0.0013,0.0085,0.0072,0.066443,0.026443,10.0,0.005899053692651076,0.11031629161489001,0.6060830284868287,0.007671872118256819,-0.0003913974267523018,-0.03059024126761021
3m,5.0,0.0356729999999999,4.465156832545859,0.0025,0.012,0.0073,-0.0003,0.0035,0.0038,0.038173,0.0331729999999999,0.25,0.0065962483503319595,-0.07120954055384729,1.9999999999997653,0.007141754681942652,,
6m,5.0,0.035842,4.4246618756834835,0.005,0.0175,0.0087,-0.0003,0.0042,0.0045,0.0408419999999999,0.0308419999999999,0.5,0.006156805285869091,-0.04053152921056752,1.9999999999999987,0.007180410892768953,0.12271204537311908,9.334755191048316e-13
1y,5.0,0.036434,4.343869859123,0.01,0.0258,0.01,-0.0001,0.00495,0.00505,0.046434,0.026434,1.0,0.0062191352621100825,-0.00998212786755681,1.5374209339136609,0.007443947228005691,0.061098802686021414,-0.9251581321726756
2y,5.0,0.038065,4.189560052641148,0.01,0.0368,0.0199,0.0008,0.01035,0.00955,0.048065,0.028065,2.0,0.006173780680440612,0.05036404101575526,1.2534981781122096,0.00778439591916645,0.060346168883312075,-0.2839227558014512
3y,5.0,0.039589,4.456967077273738,0.015,0.0441,0.0209,0.0016,0.01125,0.00965,0.054589,0.024589,3.0,0.005763732549558808,0.08437728173292317,0.9895928301837585,0.007159760168144402,0.0340132407171679,-0.2639053479284511
5y,5.0,0.042365,3.754158939297188,0.02,0.0534,0.0252,0.0031,0.01415,0.01105,0.062365,0.022365,5.0,0.006483713525881845,0.13780685794995026,0.753201077299816,0.00797267500422161,0.02671478810851355,-0.11819587644197127
10y,5.0,0.0472729999999999,3.147409019065553,0.02,0.0598,0.0358,0.0043,0.02005,0.01575,0.067273,0.0272729999999999,10.0,0.005806541390995743,0.15850595281081004,0.608418275761898,0.007530224768053386,0.004139818972171955,-0.0289565603075836
3m,10.0,0.038835,8.083369149888464,0.0025,0.0212,0.0126,-0.0001,0.00625,0.00635,0.041335,0.036335,0.25,0.00641988192564597,-0.013282193713955082,1.9999999999996099,0.006954730514342485,,
6m,10.0,0.039072,8.004416362245877,0.005,0.0313,0.0154,0.0001,0.00775,0.00765,0.044072,0.034072,0.5,0.006080241376375156,0.0075824200790051595,1.9999999999999967,0.00709352754613171,0.08345845517184097,1.5472068071176182e-12
1y,10.0,0.039689,7.847244645948719,0.01,0.0463,0.018,0.0005,0.00925,0.00875,0.049689,0.029689,1.0,0.0061703834653761775,0.02771279557791038,1.5439866331847918,0.0073947667329296455,0.04026075099781044,-0.9120267336304098
2y,10.0,0.04104,7.552476516952243,0.01,0.0653,0.0347,0.0014,0.01805,0.01665,0.05104,0.0310399999999999,2.0,0.006105476146818347,0.05001761189331307,1.2393003610109696,0.0076624761858585955,0.02230481631540269,-0.30468627217382216
3y,10.0,0.042358,8.016517818001217,0.015,0.0778,0.0362,0.0026,0.0194,0.0168,0.057358,0.027358,3.0,0.005670088674849666,0.07826484279448412,0.9812902607026766,0.007022522611531132,0.028247230901171046,-0.2580101003082931
5y,10.0,0.044542,6.732230003767613,0.02,0.0932,0.0429,0.0046,0.02375,0.01915,0.064542,0.0245419999999999,5.0,0.006331271227706128,0.11826464324185332,0.7436322910132407,0.007759467235635403,0.0199999002236846,-0.11882898484471793
10y,10.0,0.047215,5.647362469957216,0.02,0.1034,0.06,0.007,0.0335,0.0265,0.067215,0.027215,10.0,0.00564587098398443,0.15078943588552485,0.5953541242039476,0.007256627227876415,0.006504958528734306,-0.029655633361858613
3m,30.0,0.04194,16.73708047895554,0.0025,0.0429,0.0253,0.0,0.01265,0.01265,0.04444,0.0394399999999999,0.25,0.00627723494589389,3.864240176214363e-05,1.9999999985355812,0.006800337856113998,,
6m,30.0,0.041992,16.582876130190776,0.005,0.0631,0.0307,0.0002,0.01545,0.01525,0.046992,0.036992,0.5,0.00591680097173509,0.007507181164772193,1.9999999999999973,0.0069028511025986125,0.029874155052040198,5.857664575614763e-09
1y,30.0,0.0421659999999999,16.273380713842403,0.01,0.0928,0.035,0.0007,0.01785,0.01715,0.052166,0.0321659999999999,1.0,0.005980744312856708,0.01957633232153242,1.5302290305752084,0.0071471164543034866,0.024138302313520453,-0.9395419388495778
2y,30.0,0.042565,15.6926146636142,0.01,0.1295,0.0675,0.0031,0.0353,0.0322,0.052565,0.032565,2.0,0.005838861253115109,0.055723537003706684,1.2338263975428627,0.007313404433863542,0.036147204682174264,-0.2964026330323457
3y,30.0,0.04288,16.703073857161176,0.015,0.1534,0.0693,0.0051,0.0372,0.0321,0.05788,0.02788,3.0,0.005380235101418243,0.07831694434060801,0.9743809031539472,0.006645509291464592,0.02259340733690133,-0.2594454943889155
5y,30.0,0.0432479999999999,14.117171857234064,0.02,0.1824,0.0812,0.0089,0.04505,0.03615,0.063248,0.0232479999999999,5.0,0.005920728717276929,0.11733942037852939,0.7394826936401131,0.007241892414504225,0.019511238018960687,-0.11744910475691706
10y,30.0,0.042633,12.08685216583314,0.02,0.2034,0.1143,0.0152,0.06475,0.04955,0.062633,0.022633,10.0,0.005219668245189019,0.1656963797779687,0.5896173019280103,0.006669567570384321,0.009671391879887862,-0.029973078342420557
